"x";"HAADF";"Co";"Ni";"Ru"
"Position";"Intensity";"Atomic fraction";"Atomic fraction";"Atomic fraction"
"m";"Counts";"mol/mol";"mol/mol";"mol/mol"
0.000000e+00;3.547789e+04;4.062767e-01;4.667376e-01;1.269857e-01
9.292865e-11;3.547792e+04;4.099250e-01;4.595866e-01;1.304882e-01
1.858573e-10;3.547764e+04;4.027122e-01;4.697327e-01;1.275555e-01
2.787860e-10;3.547511e+04;4.038346e-01;4.690989e-01;1.270661e-01
3.717146e-10;3.548040e+04;4.092745e-01;4.595963e-01;1.311296e-01
4.646433e-10;3.547904e+04;4.131454e-01;4.633275e-01;1.235272e-01
5.575719e-10;3.547355e+04;4.146894e-01;4.672329e-01;1.180780e-01
6.505006e-10;3.547554e+04;4.133959e-01;4.637282e-01;1.228758e-01
7.434292e-10;3.547023e+04;4.117567e-01;4.646942e-01;1.235494e-01
8.363579e-10;3.547534e+04;4.103539e-01;4.653659e-01;1.242806e-01
9.292865e-10;3.547767e+04;4.074140e-01;4.634946e-01;1.290915e-01
1.022215e-09;3.547929e+04;4.048376e-01;4.643251e-01;1.308373e-01
1.115144e-09;3.547784e+04;4.094526e-01;4.628829e-01;1.276642e-01
1.208072e-09;3.548332e+04;4.088348e-01;4.624369e-01;1.287282e-01
1.301001e-09;3.548407e+04;4.120611e-01;4.545399e-01;1.333991e-01
1.393930e-09;3.548288e+04;4.080193e-01;4.591410e-01;1.328395e-01
1.486858e-09;3.547866e+04;4.075086e-01;4.615007e-01;1.309912e-01
1.579787e-09;3.547771e+04;4.080359e-01;4.611176e-01;1.308469e-01
1.672716e-09;3.547629e+04;4.078444e-01;4.667229e-01;1.254326e-01
1.765644e-09;3.547146e+04;4.045798e-01;4.698168e-01;1.256035e-01
1.858573e-09;3.546846e+04;4.068570e-01;4.615322e-01;1.316108e-01
1.951502e-09;3.546502e+04;4.080364e-01;4.617380e-01;1.302265e-01
2.044430e-09;3.546111e+04;4.064341e-01;4.646293e-01;1.289365e-01
